5 min - 100 users - initial (200 Order placements / min)
10:12:20:4750 queued=201248, executed=201245, deposits=402502, withdrawals=402502, placements=402502
10:12:20:6540 queued=202498, executed=202498, deposits=405011, withdrawals=404996, placements=404996
10:12:20:8660 queued=203747, executed=203746, deposits=407502, withdrawals=407502, placements=407502
10:12:21:0770 queued=204998, executed=204998, deposits=410011, withdrawals=409996, placements=409996
10:12:21:2560 queued=206250, executed=206249, deposits=412500, withdrawals=412500, placements=412500
10:12:21:4340 queued=207500, executed=207499, deposits=415000, withdrawals=415000, placements=415000
10:12:21:6370 queued=208743, executed=208743, deposits=417506, withdrawals=417501, placements=417506
10:12:21:8110 queued=209999, executed=209999, deposits=420005, withdrawals=419998, placements=419998
10:12:21:9860 queued=211248, executed=211248, deposits=422511, withdrawals=422496, placements=422496
10:12:22:1650 queued=212496, executed=212496, deposits=425012, withdrawals=424992, placements=425003
10:12:22:3430 queued=213748, executed=213748, deposits=427511, withdrawals=427496, placements=427496
10:12:22:5510 queued=214996, executed=214995, deposits=430008, withdrawals=429992, placements=430008
10:12:22:7540 queued=216247, executed=216246, deposits=432502, withdrawals=432502, placements=432502
10:12:22:9630 queued=217495, executed=217495, deposits=435010, withdrawals=434990, placements=435009
10:12:23:1530 queued=218750, executed=218749, deposits=437500, withdrawals=437500, placements=437500
10:12:23:3280 queued=219996, executed=219996, deposits=440012, withdrawals=439992, placements=440003
10:12:23:5050 queued=221244, executed=221244, deposits=442508, withdrawals=442495, placements=442508
10:12:23:6790 queued=222498, executed=222498, deposits=445011, withdrawals=444996, placements=444996
10:12:23:8540 queued=223745, executed=223742, deposits=447504, withdrawals=447504, placements=447504
10:12:24:0310 queued=224999, executed=224999, deposits=450005, withdrawals=449998, placements=449998
10:12:24:2160 queued=226248, executed=226248, deposits=452511, withdrawals=452496, placements=452496
10:12:24:3950 queued=227498, executed=227498, deposits=455011, withdrawals=454996, placements=454996
10:12:24:5710 queued=228747, executed=228746, deposits=457509, withdrawals=457493, placements=457504
10:12:24:7480 queued=229993, executed=229993, deposits=460006, withdrawals=460001, placements=460006
10:12:24:9230 queued=231250, executed=231248, deposits=462501, withdrawals=462500, placements=462500
10:12:25:1010 queued=232499, executed=232499, deposits=465005, withdrawals=464998, placements=464998
10:12:25:2830 queued=233746, executed=233746, deposits=467512, withdrawals=467492, placements=467503
10:12:25:5340 queued=234998, executed=234995, deposits=470002, withdrawals=470002, placements=470002
10:12:25:7150 queued=236245, executed=236245, deposits=472504, withdrawals=472501, placements=472504
10:12:25:9030 queued=237495, executed=237493, deposits=475004, withdrawals=475003, placements=475004
10:12:26:0830 queued=238747, executed=238746, deposits=477502, withdrawals=477502, placements=477502
